respondent_id,source_file,survey_version,course_name,attendance_date,satisfaction_rating,satisfaction_label,satisfaction_comment,learning_rating,recommend_rating,instructor_rating,additional_learning,course_suggestions,general_suggestions,testimonial,marketing_channels,marketing_channel_count,race_ethnicity,hispanic_latino,gender_identity,age_group,city_residence
234953_0005,234953,A,Improve Your Improv,2023-09-14,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,From a friend,1,White,No,Woman,35-64,NA
234953_0006,234953,A,Improve Your Improv,2023-09-14,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,From a friend,1,Prefer not to respond,Prefer not to respond,Prefer not to respond,Prefer not to respond,NA
234953_0007,234953,A,Basket Weaving,2023-11-18,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Other,1,White,No,Woman,35-64,Manhattan
234953_0008,234953,A,Dyeing for Blue,2023-11-16,5,Very satisfied,NA,2,3,5,NA,add tiny scissors to snip the rubber bands to the list of supplies,Add multiple nights in a row for longer or more complicated classes ( recognize this would take more resources),NA,"Allerton's website, From a friend, Other",3,White,No,Woman,65+,Monticello
234953_0009,234953,A,Basket Weaving,2023-11-18,5,Very satisfied,NA,3,3,5,NA,No,NA,NA,Allerton's website,1,White,No,Woman,65+,Mahomet
234953_0010,234953,A,Flower Arranging,2023-11-12,5,Very satisfied,NA,3,3,5,NA,More sessions. Love the whole experience.,NA,NA,Other,1,White,No,Man,65+,Champaign
234953_0011,234953,A,Focaccia Art,NA,5,Very satisfied,NA,2,2,3,NA,"More veggies, etc., and more cutting stations for the veggies",Most of them are too expensive,NA,"Allerton's website, Allerton's Facebook page, The News-Gazette",3,Prefer not to respond,Prefer not to respond,Woman,Prefer not to respond,Piatt
234953_0012,234953,A,Basket Weaving,2023-11-18,5,Very satisfied,NA,3,3,5,NA,I can't think how it would have been better.,Use more natural materials,NA,"Allerton's website, Smile Politely, Other",3,White,No,Woman,65+,Lerna
234953_0013,234953,A,Dyeing for Blue,2023-11-16,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,35-64,White Heath
234953_0014,234953,A,Basket Weaving,2023-11-18,5,Very satisfied,NA,2,3,5,NA,"Spending about 5 minutes at the top of class going over the tools in the tool baskets, so we know what they are when we get to a point that we need them.","Having a bathroom in the same building as the classroom. Having a sink in the classrooms (it was impossible to get the reed dye off our fingers in the bathroom by the cafe, as you have to use one hand to hold the water on.) Having shades that can be used over windows if needed. For the first 30 minutes of class I had to stand 10 feet behind my table, because there was a glaring light coming in from the oculus window in the Barn. Better (non folding) chairs for classes, and anti-fatigue mats, because you often have to stand when crafting, and the concrete floors were hard to stand on.",NA,From a friend,1,White,No,Woman,35-64,Champaign
234953_0015,234953,A,Dyeing for Blue,2023-11-16,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,35-64,Urbana
234953_0016,234953,A,Dyeing for Blue,2023-11-16,5,Very satisfied,NA,2,2,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page, Poster or flyer in local business/library",3,White,No,Woman,35-64,Monticello
234953_0017,234953,A,Flower Arranging,2023-11-12,5,Very satisfied,NA,2,2,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Urbana
234953_0018,234953,A,Beginning Weaving II,2023-09-20,4,Somewhat satisfied,NA,3,3,5,NA,More sessions or longer,NA,NA,Allerton's website,1,White,No,Woman,65+,Decatur
234953_0019,234953,A,Flower Arranging,2023-11-12,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Urbana
234953_0020,234953,A,Focaccia Art,2023-11-13,5,Very satisfied,NA,3,3,5,NA,Include kids,NA,NA,"Allerton's website, Allerton's Facebook page, From a friend",3,White,No,Woman,35-64,Monticello
234953_0021,234953,A,Dyeing for Blue,2023-11-16,4,Somewhat satisfied,NA,3,2,4,NA,NA,NA,NA,Allerton's website,1,NA,NA,NA,NA,NA
234953_0022,234953,A,Basket Weaving,2023-11-11,5,Very satisfied,NA,3,2,4,NA,Somewhat more detail in instructions,NA,NA,Smile Politely,1,White,No,Woman,35-64,Champaign
234953_0023,234953,A,Beginning Weaving II,2023-10-23,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,From a friend,1,Prefer not to respond,Prefer not to respond,Prefer not to respond,65+,Decatur
234953_0024,234953,A,Dyeing for Blue,2023-11-16,4,Somewhat satisfied,NA,2,1,4,NA,"Preparing supplies to limit wait time, more education on indigo and its use.",NA,NA,"Allerton's website, From a friend",2,NA,NA,NA,NA,NA
234953_0025,234953,A,Introduction to Bookbinding,NA,5,Very satisfied,NA,3,3,5,NA,We needed more than 2 hours per class and tge Allerton staff would not allow us to stay past 8,Love the Farms offerings and programs. This was the first class that I have had that I have some less than positive feedback and it is related to poor communication between Allerton staff and the teacher. We were orginally told we were able to keep the supplies then the second class night were told by Allerton staff we were not. I am disappointed because our class cost $60 more than the Winter session and had 1 less class. I feel as if have paid for the materials for the Winter session class. I wish we were given the option to donate our supplies rather than being told we had to leave them.,NA,Allerton's Facebook page,1,White,No,Woman,35-64,Champaign
234953_0026,234953,A,Simmer Pot Workshop,2023-11-29,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's website,1,NA,NA,NA,NA,Monticello
234953_0027,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's website,1,White,No,Woman,65+,Champaign
234953_0028,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,Allerton's Facebook page,1,White,No,Woman,65+,M Mine
234953_0029,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,2,3,5,NA,Too much introduction that took away from valuable wreath making time.,Loved the girls from the flower farm. They are so much fun and were very interactive!,NA,Allerton's website,1,White,No,Woman,18-34,Champaign
234953_0030,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,"Allerton's Facebook page, From a friend",2,White,No,Woman,35-64,Decatur
234953_0031,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Other,1,NA,NA,NA,NA,NA
234953_0032,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,3,5,NA,No,No,NA,Other,1,White,No,Woman,65+,Champaign
234953_0033,234953,A,Holiday Wreath Making,2023-11-29,5,Very satisfied,NA,3,3,5,NA,Room was pretty cold!,not yet,NA,Allerton's website,1,White,No,Woman,65+,Champaign
234953_0034,234953,A,Learn the Guitar,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Poster or flyer in local business/library,1,White,No,Man,65+,Monticello
234953_0035,234953,A,Learn the Guitar,NA,5,Very satisfied,NA,3,3,4,NA,Possibly having two 5 week sessions with option to take both. Perhaps material covered could be more advanced in second session. It can be difficult to attend all 10 sessions of a class.,"Possibly having addition of some focus groups to continue instruction and participant community For example Fiber, music, painting, writing",NA,"Allerton's website, Allerton's Facebook page, From a friend, The News-Gazette, Smile Politely, Other",6,Prefer not to respond,Prefer not to respond,Woman,65+,Monticello
234953_0036,234953,A,Learn the Guitar,NA,5,Very satisfied,NA,3,3,4,NA,Possibly having two 5 week sessions with option to take both. Perhaps material covered could be more advanced in second session. It can be difficult to attend all 10 sessions of a class.,"Possibly having addition of some focus groups to continue instruction and participant community For example Fiber, music, painting, writing",NA,"Allerton's website, Allerton's Facebook page, From a friend, The News-Gazette, Smile Politely, Other",6,Prefer not to respond,Prefer not to respond,Woman,65+,Monticello
234953_0037,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,1,5,NA,No,No,NA,Allerton's Facebook page,1,White,No,Woman,35-64,Monticello
234953_0038,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,65+,Decatur
234953_0039,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,2,2,5,NA,"in addition to selling beer and wine and soda, it would have been nice to have complimentary water and tea",keep doing what you are doing,NA,Other,1,White,No,Woman,35-64,Piatt
234953_0040,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,From a friend,1,White,No,Woman,35-64,Monticello
234953_0041,234953,A,Holiday Wreath Making,2023-12-06,4,Somewhat satisfied,NA,3,2,5,NA,"With the number of people, it was hard to gather desired materials. Decorations were picked over.",NA,NA,"Allerton's website, Allerton's Facebook page",2,White,No,Woman,35-64,NA
234953_0042,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,Other,1,White,No,Woman,NA,Urbana
234953_0043,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,From a friend,1,White,No,Woman,18-34,NA
234953_0044,234953,A,Holiday Wreath Making,2023-12-06,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's Facebook page,1,White,No,Woman,35-64,Westv E
234953_0045,234953,A,Holiday Candle Making,2023-12-13,5,Very satisfied,NA,3,3,5,NA,Heat in the studio. Maybe a warm drink.,NA,NA,Allerton's Facebook page,1,White,No,Woman,Prefer not to respond,NA
234953_0046,234953,A,Holiday Candle Making,2023-12-13,4,Somewhat satisfied,NA,3,1,5,NA,"It was a little pricey, especially for not being located in the coziness of the mansion. To make a candle at the Firedoll studio in Champaign only costs $30, so to pay double to make a candle in a not-so-cozy environment was kind of a bummer.",NA,NA,Allerton's Facebook page,1,White,No,Woman,18-34,Monticello
234953_0047,234953,A,Holiday Candle Making,2023-12-13,5,Very satisfied,NA,3,2,5,NA,NA,NA,NA,Radio – WILL 580 AM/90.9 FM,1,White,No,Man,65+,Monticello
227465_0001,227465,B,Needle Felting,NA,4,Somewhat satisfied,I feel as if this was more of an advanced class vs a beginner one.,3,2,5,NA,NA,NA,NA,"Allerton's website, Poster or flyer in local business/library",2,White,No,Woman,35-64,Monticello
227465_0002,227465,B,Needle Felting,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,I've taken all the felting classes. The instructor is patient and positive. I continue to learn and improve with each class and enjoy interacting with others who attend.,"Allerton's website, Allerton's enewsletter, Allerton's Facebook page",3,White,No,Woman,65+,Monticello
227465_0003,227465,B,Needle Felting,NA,4,Somewhat satisfied,NA,3,2,5,Embroidery,NA,Instructor was 1/2 hour late.,NA,Allerton's Facebook page,1,NA,NA,NA,NA,NA
227465_0004,227465,B,Flower Arranging,NA,5,Very satisfied,NA,3,3,5,"Tablescaping (and/or various techniques within it such as choosing or putting together centerpieces, folding napkins, learning different linen effects (how do they combine the tablecloth with chiffon and hold it in place to create that flowing look?) using food as decor, etc.) Bouquet Making (learning not just arrangement, but how to hold it together),",NA,"Things were a little tight. I had to double check what supplies was mine vs my neighbor's. Maybe spreading out, just a little.",Fall Flower Arranging was fantastic. I learned two very different arrangements as well as gained a plethora of knowledge that I could take with me to create my own arrangements in the future!,Allerton's website,1,White,Yes,Woman,18-34,Urbana
227465_0005,227465,B,4H Farm Demo,NA,5,Very satisfied,NA,3,3,5,NA,NA,NA,NA,Allerton's website,1,White,No,Woman,35-64,NA
227465_0006,227465,B,Flower Arranging,NA,5,Very satisfied,NA,2,3,5,NA,NA,NA,NA,Allerton's enewsletter,1,White,No,Woman,65+,Urbana
227465_0007,227465,B,Improve Your Improv,NA,5,Very satisfied,NA,3,3,5,NA,NA,None,NA,Other,1,White,No,Man,35-64,Sullivan
